Palavras,Contagem
nacional,21
garantia,20
popular,20
escola,19
educação,18
ensino,18
controle,17
reforma,17
todos,17
população,16
social,16
trabalho,15
escolas,14
política,14
povo,14
médio,13
processo,13
sobre,12
saúde,11
escolar,10
