Palavras,Contagem
país,44
política,44
trabalhadores,44
interesses,33
popular,30
todos,30
programa,29
social,29
desenvolvimento,28
populares,28
sistema,27
brasil,26
construção,26
criação,26
população,25
saúde,25
economia,24
trabalho,24
classe,23
público,23
