Palavras,Contagem
trabalhadores,111
país,66
burguesia,58
empresas,53
grandes,53
contra,48
todos,43
defendemos,39
meio,33
classe,31
bolsonaro,28
ambiente,27
capitalismo,27
povo,27
opressão,25
setores,25
governo,24
trabalho,23
população,22
brasil,21
