Palavras,Contagem
brasil,78
saúde,42
país,38
governo,37
estado,35
economia,34
sistema,33
vamos,27
política,24
deve,22
educação,22
recursos,22
setor,22
pobreza,21
públicas,21
acesso,20
anos,20
carbono,20
forma,20
meio,20
