Palavras,Contagem
nacional,38
governo,32
promover,27
social,27
desenvolvimento,24
educação,24
diretrizes,23
políticas,23
renda,22
serviços,22
maior,21
saúde,21
economia,20
pessoas,20
simone,20
brasil,19
fortalecer,19
país,19
todos,19
deficiência,18
