Palavras,Contagem
federal,18
nacional,12
desenvolvimento,11
assegurar,10
governo,10
público,9
social,9
educação,8
políticas,8
todos,8
apoio,7
ações,7
democracia,7
sistema,7
sociedade,7
direito,6
ensino,6
estado,6
fazer,6
poltica,6
